keys,en,uk,pl,be,kz,ru
"TUTORIAL_HINT_LEAD","Your lead: choose the first card of the trick. Other players must follow its suit if they can.","Твій захід: обери першу карту взятки. Інші гравці мають відповісти цією мастю, якщо можуть.","Twoje wyjście: wybierz pierwszą kartę lewy. Inni muszą dołożyć do koloru, jeśli mogą.","Твой заход: абяры першую карту ўзяткі. Іншыя гульцы павінны адказаць гэтай масцю, калі могуць.","Сіздің жүрісіңіз: параның бірінші картасын таңдаңыз. Қалған ойыншылар мүмкін болса сол түстен жүруі керек.","Твой заход: выбери первую карту взятки. Другие игроки должны ответить этой мастью, если могут."
"TUTORIAL_HINT_REPLY","Your turn: follow the lead suit if you have it. Otherwise, trump and Joker rules apply.","Твоя відповідь: якщо маєш масть заходу — зіграй нею. Інакше діють правила козиря та Джокера.","Twoja odpowiedź: dołóż do koloru wyjścia, jeśli go masz. W przeciwnym razie obowiązują zasady atutu i Jokera.","Твой адказ: калі маеш масць заходу — згуляй ёю. Інакш дзейнічаюць правілы казыра і Джокера.","Жауабыңыз: жүрілген түстегі картаңыз болса, соны ойнаңыз. Әйтпесе көзір мен Джокер ережелері қолданылады.","Твой ответ: если масть захода есть на руке — положи её. Иначе действуют правила козыря и Джокера."
"TUTORIAL_HINT_OTHER_TURN","Another player is taking their turn. The cards in the centre form a trick; its winner leads the next trick.","Зараз хід іншого гравця. Карти в центрі утворюють взятку; її переможець почне наступну.","Teraz ruch innego gracza. Karty na środku tworzą lewę; jej zwycięzca wychodzi do następnej.","Зараз ход іншага гульца. Карты ў цэнтры ўтвараюць узятку; яе пераможца пачне наступную.","Қазір басқа ойыншының кезегі. Ортадағы карталар параны құрайды; жеңімпазы келесі параны бастайды.","Сейчас ход другого игрока. Карты в центре образуют взятку; её победитель начнёт следующую."
"TUTORIAL_HINT_FINISHED","Round complete. Check your bid, tricks and points. Open the score sheet for the results of all rounds.","Роздачу завершено. Перевір замовлення, взятки та очки. Результати всіх роздач є в «Розписці».","Rozdanie zakończone. Sprawdź deklarację, lewy i punkty. Wyniki wszystkich rozdań znajdziesz w tabeli wyników.","Раздача завершана. Правер заказ, узяткі і ачкі. Вынікі ўсіх раздач ёсць у «Распісцы».","Тарату аяқталды. Тапсырысты, параларды және ұпайларды тексеріңіз. Барлық тарату нәтижелері есеп кестесінде.","Раздача завершена. Сверь заказ, взятки и очки. Результаты всех раздач можно открыть кнопкой «Расписка»."
"TUTORIAL_HINT_WAIT","Tips change as the round progresses.","Підказки змінюються залежно від етапу роздачі.","Wskazówki zmieniają się wraz z etapem rozdania.","Падказкі змяняюцца разам з этапам раздачы.","Кеңестер тарату кезеңіне қарай өзгереді.","Подсказки меняются вместе с этапом раздачи."
"MOBILE_PREMOVE_HINT","Premove: tap a card twice or drag it onto the table","Попередній хід: двічі торкнись карти або перетягни її на стіл","Ruch z wyprzedzeniem: dotknij karty dwa razy lub przeciągnij ją na stół","Папярэдні ход: двойчы крані карту або перацягні яе на стол","Алдын ала жүріс: картаны екі рет түртіңіз немесе үстелге сүйреңіз","Премув: дважды нажми на карту или перетащи её на стол"
"SETUP_CLASSIC_TILE","Classic","Класика","Klasyczna","Класіка","Классика","Классика"
"SETUP_TEAMS_TILE","Teams 2×2","Команди 2×2","Drużyny 2×2","Каманды 2×2","Командалар 2×2","Команды 2×2"
"SETUP_EASY_TILE","Easy","Легкий","Łatwy","Лёгкі","Жеңіл","Лёгкий"
"SETUP_NORMAL_TILE","Normal","Звичайний","Zwykły","Звычайны","Қалыпты","Обычный"
"SETUP_HARD_TILE","Hard","Складний","Trudny","Складаны","Қиын","Сложный"
"MOBILE_SETTINGS_CARDS","Cards","Карти","Karty","Карты","Карталар","Карты"
"MOBILE_SETTINGS_FELT","Felt","Сукно","Sukno","Сукно","Үстел матасы","Сукно"
"MOBILE_SETTINGS_SURROUND","Surround","Оточення","Otoczenie","Атачэнне","Айнала","Окружение"
"MOBILE_TOGGLE_ON","On","Увімк.","Wł.","Укл.","Қосулы","Вкл"
"MOBILE_TOGGLE_OFF","Off","Вимк.","Wył.","Выкл.","Өшірулі","Выкл"
"MOBILE_AUTO_TURN_HELP","Auto-play turns on automatically after 90 seconds of inactivity.","Автохід увімкнеться сам після 90 секунд бездіяльності.","Automatyczny ruch włączy się po 90 sekundach bezczynności.","Аўтаход уключыцца сам пасля 90 секунд бяздзейнасці.","90 секунд әрекетсіздіктен кейін автоматты жүріс қосылады.","Автоход включится сам после 90 секунд бездействия."
"Рейтинг сезона","Season ranking","Рейтинг сезону","Ranking sezonu","Рэйтынг сезона","Маусым рейтингі","Рейтинг сезона"
"В сезонный рейтинг входят только завершённые сетевые партии. Игры с ботами не влияют на позицию.","Only completed online matches count toward the season ranking. Bot games do not affect your position.","До сезонного рейтингу входять лише завершені мережеві партії. Ігри з ботами не впливають на позицію.","Do rankingu sezonowego liczą się tylko ukończone mecze online. Gry z botami nie wpływają na pozycję.","У сезонны рэйтынг уваходзяць толькі завершаныя сеткавыя партыі. Гульні з ботамі не ўплываюць на пазіцыю.","Маусым рейтингіне тек аяқталған онлайн ойындар кіреді. Боттармен ойындар орынға әсер етпейді.","В сезонный рейтинг входят только завершённые сетевые партии. Игры с ботами не влияют на позицию."
"Таблица всех онлайн-игроков появится здесь после подключения сезонного сервиса.","The table of all online players will appear here after the season service is connected.","Таблиця всіх онлайн-гравців з’явиться тут після підключення сезонного сервісу.","Tabela wszystkich graczy online pojawi się tutaj po podłączeniu usługi sezonowej.","Табліца ўсіх анлайн-гульцоў з’явіцца тут пасля падключэння сезоннага сэрвісу.","Барлық онлайн ойыншылар кестесі маусымдық қызмет қосылғаннан кейін осында пайда болады.","Таблица всех онлайн-игроков появится здесь после подключения сезонного сервиса."

"Сервер Project Joker","Project Joker server","Сервер Project Joker","Serwer Project Joker","Сервер Project Joker","Project Joker сервері","Сервер Project Joker"
"Общий интернет-стол работает на нашем сервере. Игра сама займёт свободное место и сохранит его для переподключения.","The shared online table runs on our server. The game takes a free seat and saves it for reconnecting.","Спільний інтернет-стіл працює на нашому сервері. Гра сама займе вільне місце та збереже його для перепідключення.","Wspólny stół online działa na naszym serwerze. Gra zajmie wolne miejsce i zachowa je do ponownego połączenia.","Агульны анлайн-стол працуе на нашым серверы. Гульня сама зойме вольнае месца і захавае яго для перападключэння.","Ортақ онлайн үстел біздің серверде жұмыс істейді. Ойын бос орынды алып, қайта қосылу үшін сақтайды.","Общий интернет-стол работает на нашем сервере. Игра сама займёт свободное место и сохранит его для переподключения."
"Вернуться в интернет-комнату","Return to online room","Повернутися до інтернет-кімнати","Wróć do pokoju online","Вярнуцца ў анлайн-пакой","Онлайн бөлмеге оралу","Вернуться в интернет-комнату"
"Подключиться к общему столу","Connect to shared table","Підключитися до спільного столу","Połącz ze wspólnym stołem","Падключыцца да агульнага стала","Ортақ үстелге қосылу","Подключиться к общему столу"
"Комнаты Steam","Steam rooms","Кімнати Steam","Pokoje Steam","Пакоі Steam","Steam бөлмелері","Комнаты Steam"
"Интернет-комната","Online room","Інтернет-кімната","Pokój online","Анлайн-пакой","Онлайн бөлме","Интернет-комната"
"Общий стол Project Joker · Oracle Cloud","Shared Project Joker table · Oracle Cloud","Спільний стіл Project Joker · Oracle Cloud","Wspólny stół Project Joker · Oracle Cloud","Агульны стол Project Joker · Oracle Cloud","Project Joker ортақ үстелі · Oracle Cloud","Общий стол Project Joker · Oracle Cloud"
"Клиент ещё не создан.","Client not created yet.","Клієнт ще не створено.","Klient nie został jeszcze utworzony.","Кліент яшчэ не створаны.","Клиент әлі жасалмады.","Клиент ещё не создан."
"Подключиться снова","Connect again","Підключитися знову","Połącz ponownie","Падключыцца зноў","Қайта қосылу","Подключиться снова"
"Отключиться","Disconnect","Відключитися","Rozłącz","Адключыцца","Ажырату","Отключиться"
"Места появятся после ответа сервера.","Seats appear after the server responds.","Місця з’являться після відповіді сервера.","Miejsca pojawią się po odpowiedzi serwera.","Месцы з’явяцца пасля адказу сервера.","Орындар сервер жауап бергеннен кейін пайда болады.","Места появятся после ответа сервера."
"готов","ready","готовий","gotowy","гатовы","дайын","готов"
"подключается","connecting","підключається","łączy się","падключаецца","қосылуда","подключается"
"свободно","free","вільно","wolne","вольна","бос","свободно"
"ждём переподключения","waiting for reconnection","чекаємо на перепідключення","oczekiwanie na ponowne połączenie","чакаем перападключэння","қайта қосылуды күтудеміз","ждём переподключения"
"это ты","you","це ви","to ty","гэта ты","бұл сіз","это ты"
"Project Joker · интернет-партия","Project Joker · online game","Project Joker · інтернет-партія","Project Joker · gra online","Project Joker · анлайн-партыя","Project Joker · онлайн ойын","Project Joker · интернет-партия"
"Вернуться к игрокам интернет-комнаты","Return to online room players","Повернутися до гравців інтернет-кімнати","Wróć do graczy w pokoju online","Вярнуцца да гульцоў анлайн-пакоя","Онлайн бөлме ойыншыларына оралу","Вернуться к игрокам интернет-комнаты"
"Подключаюсь к Project Joker: %s:%d…","Connecting to Project Joker: %s:%d…","Підключення до Project Joker: %s:%d…","Łączenie z Project Joker: %s:%d…","Падключэнне да Project Joker: %s:%d…","Project Joker серверіне қосылу: %s:%d…","Подключаюсь к Project Joker: %s:%d…"
"Удалённый сервер отключён.","Remote server disconnected.","Віддалений сервер відключено.","Serwer zdalny został rozłączony.","Аддалены сервер адключаны.","Қашықтағы сервер ажыратылды.","Удалённый сервер отключён."
"Сервер отвечает. Запрашиваю свободное место…","Server responded. Requesting a free seat…","Сервер відповідає. Запитуємо вільне місце…","Serwer odpowiada. Wyszukiwanie wolnego miejsca…","Сервер адказвае. Запытваем вольнае месца…","Сервер жауап берді. Бос орын сұралуда…","Сервер отвечает. Запрашиваю свободное место…"
"Получено место %d. Подтверждаю участие…","Seat %d received. Confirming…","Отримано місце %d. Підтверджуємо участь…","Otrzymano miejsce %d. Potwierdzanie…","Атрымана месца %d. Пацвярджаем удзел…","%d-орын алынды. Қатысу расталуда…","Получено место %d. Подтверждаю участие…"
"Ожидание свободного места…","Waiting for a free seat…","Очікування вільного місця…","Oczekiwanie na wolne miejsce…","Чаканне вольнага месца…","Бос орын күтілуде…","Ожидание свободного места…"
"Ты на месте %d. Игроков готово: %d/%d.","You are in seat %d. Players ready: %d/%d.","Ви на місці %d. Гравців готово: %d/%d.","Jesteś na miejscu %d. Gotowi gracze: %d/%d.","Ты на месцы %d. Гульцоў гатова: %d/%d.","Сіз %d-орындасыз. Дайын ойыншылар: %d/%d.","Ты на месте %d. Игроков готово: %d/%d."
"Партия началась.","The game has started.","Партія почалася.","Gra się rozpoczęła.","Партыя пачалася.","Ойын басталды.","Партия началась."
"Ждём остальных игроков.","Waiting for other players.","Чекаємо на інших гравців.","Oczekiwanie na pozostałych graczy.","Чакаем астатніх гульцоў.","Қалған ойыншыларды күтудеміз.","Ждём остальных игроков."
"Связь с сервером потеряна. Нажми «Подключиться» ещё раз.","Connection lost. Select “Connect” again.","Зв’язок із сервером втрачено. Натисніть «Підключитися» ще раз.","Utracono połączenie. Wybierz „Połącz” ponownie.","Сувязь з серверам страчана. Націсні «Падключыцца» яшчэ раз.","Сервермен байланыс үзілді. «Қосылу» түймесін қайта басыңыз.","Связь с сервером потеряна. Нажми «Подключиться» ещё раз."
"Сервер ещё не подключён.","Server is not connected yet.","Сервер ще не підключено.","Serwer nie jest jeszcze połączony.","Сервер яшчэ не падключаны.","Сервер әлі қосылмаған.","Сервер ещё не подключён."
"Подключиться к серверу","Connect to server","Підключитися до сервера","Połącz z serwerem","Падключыцца да сервера","Серверге қосылу","Подключиться к серверу"
"Обновить интернет-комнаты","Refresh online rooms","Оновити інтернет-кімнати","Odśwież pokoje online","Абнавіць анлайн-пакоі","Онлайн бөлмелерді жаңарту","Обновить интернет-комнаты"
"Создать интернет-комнату","Create online room","Створити інтернет-кімнату","Utwórz pokój online","Стварыць анлайн-пакой","Онлайн бөлме құру","Создать интернет-комнату"
"Вернуться в текущую комнату","Return to current room","Повернутися до поточної кімнати","Wróć do bieżącego pokoju","Вярнуцца ў бягучы пакой","Ағымдағы бөлмеге оралу","Вернуться в текущую комнату"
"Переподключиться к сохранённой комнате","Reconnect to saved room","Перепідключитися до збереженої кімнати","Połącz ponownie z zapisanym pokojem","Перападключыцца да захаванага пакоя","Сақталған бөлмеге қайта қосылу","Переподключиться к сохранённой комнате"
"Интернет-комнаты","Online rooms","Інтернет-кімнати","Pokoje online","Анлайн-пакоі","Онлайн бөлмелер","Интернет-комнаты"
"Получаем список комнат…","Loading room list…","Отримуємо список кімнат…","Pobieranie listy pokoi…","Атрымліваем спіс пакояў…","Бөлмелер тізімі алынуда…","Получаем список комнат…"
"Комнат пока нет. Создай первую и дождись игроков.","No rooms yet. Create the first one and wait for players.","Кімнат поки немає. Створіть першу та дочекайтеся гравців.","Nie ma jeszcze pokoi. Utwórz pierwszy i poczekaj na graczy.","Пакояў пакуль няма. Ствары першы і пачакай гульцоў.","Әзірге бөлме жоқ. Біріншісін құрып, ойыншыларды күтіңіз.","Комнат пока нет. Создай первую и дождись игроков."
"Обновить список Steam","Refresh Steam list","Оновити список Steam","Odśwież listę Steam","Абнавіць спіс Steam","Steam тізімін жаңарту","Обновить список Steam"
"Открытые столы Steam","Open Steam tables","Відкриті столи Steam","Otwarte stoły Steam","Адкрытыя сталы Steam","Ашық Steam үстелдері","Открытые столы Steam"
"Открытых столов Steam пока нет.","There are no open Steam tables yet.","Відкритих столів Steam поки немає.","Nie ma jeszcze otwartych stołów Steam.","Адкрытых сталоў Steam пакуль няма.","Әзірге ашық Steam үстелдері жоқ.","Открытых столов Steam пока нет."
"Комната %d","Room %d","Кімната %d","Pokój %d","Пакой %d","%d-бөлме","Комната %d"
"завершена","finished","завершена","zakończona","завершана","аяқталды","завершена"
"Хост","Host","Хост","Host","Хост","Хост","Хост"
"Ввести пароль","Enter password","Ввести пароль","Wpisz hasło","Увесці пароль","Құпиясөз енгізу","Ввести пароль"
"Закрытая интернет-комната","Private online room","Закрита інтернет-кімната","Prywatny pokój online","Закрыты анлайн-пакой","Жабық онлайн бөлме","Закрытая интернет-комната"
"Введите пароль, установленный создателем комнаты","Enter the password set by the room creator","Введіть пароль, установлений творцем кімнати","Wpisz hasło ustawione przez twórcę pokoju","Увядзі пароль, зададзены стваральнікам пакоя","Бөлме жасаушысы орнатқан құпиясөзді енгізіңіз","Введите пароль, установленный создателем комнаты"
"Пароль комнаты","Room password","Пароль кімнати","Hasło pokoju","Пароль пакоя","Бөлме құпиясөзі","Пароль комнаты"
"Введите пароль","Enter password","Введіть пароль","Wpisz hasło","Увядзі пароль","Құпиясөзді енгізіңіз","Введите пароль"
"Назад к списку комнат","Back to room list","Назад до списку кімнат","Wróć do listy pokoi","Назад да спісу пакояў","Бөлмелер тізіміне оралу","Назад к списку комнат"
"Комната появится в общем списке на телефонах и компьютерах","The room will appear in the shared list on phones and computers","Кімната з’явиться у спільному списку на телефонах і комп’ютерах","Pokój pojawi się na wspólnej liście na telefonach i komputerach","Пакой з’явіцца ў агульным спісе на тэлефонах і камп’ютарах","Бөлме телефондар мен компьютерлердегі ортақ тізімде көрінеді","Комната появится в общем списке на телефонах и компьютерах"
"Название комнаты","Room name","Назва кімнати","Nazwa pokoju","Назва пакоя","Бөлме атауы","Название комнаты"
"Например: Вечерняя партия","For example: Evening game","Наприклад: Вечірня партія","Na przykład: Wieczorna gra","Напрыклад: Вячэрняя партыя","Мысалы: Кешкі ойын","Например: Вечерняя партия"
"Стол %s","%s's table","Стіл %s","Stół: %s","Стол %s","%s үстелі","Стол %s"
"Закрытая комната с паролем","Private room with password","Закрита кімната з паролем","Prywatny pokój z hasłem","Закрыты пакой з паролем","Құпиясөзі бар жабық бөлме","Закрытая комната с паролем"
"Открытые и закрытые комнаты видны в списке. У закрытой комнаты отображается замок.","Open and private rooms are visible in the list. Private rooms show a lock.","Відкриті й закриті кімнати видно у списку. Біля закритої кімнати показано замок.","Otwarte i prywatne pokoje są widoczne na liście. Prywatny pokój ma ikonę kłódki.","Адкрытыя і закрытыя пакоі бачныя ў спісе. Каля закрытага пакоя паказаны замок.","Ашық және жабық бөлмелер тізімде көрінеді. Жабық бөлмеде құлып белгісі бар.","Открытые и закрытые комнаты видны в списке. У закрытой комнаты отображается замок."
"закрытая","private","закрита","prywatny","закрыты","жабық","закрытая"
"Сервер Project Joker · %s комната","Project Joker server · %s room","Сервер Project Joker · %s кімната","Serwer Project Joker · pokój %s","Сервер Project Joker · %s пакой","Project Joker сервері · %s бөлме","Сервер Project Joker · %s комната"
"Подключение к комнате…","Connecting to room…","Підключення до кімнати…","Łączenie z pokojem…","Падключэнне да пакоя…","Бөлмеге қосылу…","Подключение к комнате…"
"Покинуть комнату","Leave room","Покинути кімнату","Opuść pokój","Пакінуць пакой","Бөлмеден шығу","Покинуть комнату"
"Отключиться от сервера","Disconnect from server","Відключитися від сервера","Rozłącz z serwerem","Адключыцца ад сервера","Серверден ажырату","Отключиться от сервера"
"Место","Seat","Місце","Miejsce","Месца","Орын","Место"
"Для закрытой комнаты нужен пароль.","A private room requires a password.","Для закритої кімнати потрібен пароль.","Prywatny pokój wymaga hasła.","Для закрытага пакоя патрэбны пароль.","Жабық бөлме үшін құпиясөз қажет.","Для закрытой комнаты нужен пароль."
"Создаю интернет-комнату…","Creating online room…","Створюємо інтернет-кімнату…","Tworzenie pokoju online…","Ствараем анлайн-пакой…","Онлайн бөлме құрылуда…","Создаю интернет-комнату…"
"Подключаюсь к выбранной комнате…","Connecting to selected room…","Підключення до вибраної кімнати…","Łączenie z wybranym pokojem…","Падключэнне да выбранага пакоя…","Таңдалған бөлмеге қосылу…","Подключаюсь к выбранной комнате…"
"Покидаю комнату…","Leaving room…","Виходимо з кімнати…","Opuszczanie pokoju…","Пакідаем пакой…","Бөлмеден шығу…","Покидаю комнату…"
"Сервер отвечает. Получаю список комнат…","Server responded. Loading rooms…","Сервер відповідає. Отримуємо список кімнат…","Serwer odpowiada. Pobieranie pokoi…","Сервер адказвае. Атрымліваем спіс пакояў…","Сервер жауап берді. Бөлмелер тізімі алынуда…","Сервер отвечает. Получаю список комнат…"
"Комната покинута.","Room left.","Кімнату покинуто.","Opuszczono pokój.","Пакой пакінуты.","Бөлмеден шықтыңыз.","Комната покинута."
"Сервер подключён. Комнат в списке: %d.","Server connected. Rooms listed: %d.","Сервер підключено. Кімнат у списку: %d.","Serwer połączony. Pokoje na liście: %d.","Сервер падключаны. Пакояў у спісе: %d.","Сервер қосылды. Тізімдегі бөлмелер: %d.","Сервер подключён. Комнат в списке: %d."
"Неверный пароль комнаты.","Incorrect room password.","Неправильний пароль кімнати.","Nieprawidłowe hasło pokoju.","Няправільны пароль пакоя.","Бөлме құпиясөзі қате.","Неверный пароль комнаты."
"Комната больше не существует. Обнови список.","The room no longer exists. Refresh the list.","Кімната більше не існує. Оновіть список.","Pokój już nie istnieje. Odśwież listę.","Пакой больш не існуе. Абнаві спіс.","Бөлме енді жоқ. Тізімді жаңартыңыз.","Комната больше не существует. Обнови список."
"На сервере временно достигнут лимит комнат.","The server room limit has been reached temporarily.","На сервері тимчасово досягнуто ліміту кімнат.","Tymczasowo osiągnięto limit pokoi na serwerze.","На серверы часова дасягнуты ліміт пакояў.","Сервердегі бөлмелер лимитіне уақытша жетті.","На сервере временно достигнут лимит комнат."
"Единые комнаты Project Joker для телефонов и компьютеров","Shared Project Joker rooms for phones and computers","Спільні кімнати Project Joker для телефонів і комп’ютерів","Wspólne pokoje Project Joker na telefony i komputery","Агульныя пакоі Project Joker для тэлефонаў і камп’ютараў","Телефондар мен компьютерлерге ортақ Project Joker бөлмелері","Единые комнаты Project Joker для телефонов и компьютеров"
"Комнаты","Rooms","Кімнати","Pokoje","Пакоі","Бөлмелер","Комнаты"
"Друзья","Friends","Друзі","Znajomi","Сябры","Достар","Друзья"
"Моя игра","My game","Моя гра","Moja gra","Мая гульня","Менің ойыным","Моя игра"
"Все приглашения ведут в те же серверные комнаты. Отдельной Steam-партии больше нет.","All invitations lead to the same server rooms. There is no separate Steam match anymore.","Усі запрошення ведуть до тих самих серверних кімнат. Окремої Steam-партії більше немає.","Wszystkie zaproszenia prowadzą do tych samych pokoi serwera. Nie ma już osobnego trybu Steam.","Усе запрашэнні вядуць у тыя ж серверныя пакоі. Асобнай Steam-партыі больш няма.","Барлық шақырулар сол сервер бөлмелеріне апарады. Бөлек Steam ойыны енді жоқ.","Все приглашения ведут в те же серверные комнаты. Отдельной Steam-партии больше нет."
"Скопировать код комнаты","Copy room code","Скопіювати код кімнати","Kopiuj kod pokoju","Скапіраваць код пакоя","Бөлме кодын көшіру","Скопировать код комнаты"
"Открыть текущую комнату","Open current room","Відкрити поточну кімнату","Otwórz bieżący pokój","Адкрыць бягучы пакой","Ағымдағы бөлмені ашу","Открыть текущую комнату"
"Создать комнату для друзей","Create a room for friends","Створити кімнату для друзів","Utwórz pokój dla znajomych","Стварыць пакой для сяброў","Достарға бөлме құру","Создать комнату для друзей"
"Открыть список комнат","Open room list","Відкрити список кімнат","Otwórz listę pokoi","Адкрыць спіс пакояў","Бөлмелер тізімін ашу","Открыть список комнат"
"Войти по коду комнаты","Join with room code","Увійти за кодом кімнати","Dołącz za pomocą kodu pokoju","Увайсці па кодзе пакоя","Бөлме коды арқылы кіру","Войти по коду комнаты"
"Код комнаты","Room code","Код кімнати","Kod pokoju","Код пакоя","Бөлме коды","Код комнаты"
"Пароль, если комната закрытая","Password if the room is private","Пароль, якщо кімната закрита","Hasło, jeśli pokój jest prywatny","Пароль, калі пакой закрыты","Бөлме жабық болса, құпиясөз","Пароль, если комната закрытая"
"Войти по коду","Join by code","Увійти за кодом","Dołącz kodem","Увайсці па кодзе","Код арқылы кіру","Войти по коду"
"Steam на ПК используется как дополнительный способ входа и приглашения. Сама партия всегда работает через сервер Project Joker и остаётся общей с телефоном.","Steam on PC is an additional way to sign in and invite players. The match always runs through the Project Joker server and remains shared with phones.","Steam на ПК використовується як додатковий спосіб входу та запрошення. Сама партія завжди працює через сервер Project Joker і залишається спільною з телефоном.","Steam na PC służy dodatkowo do logowania i zapraszania. Rozgrywka zawsze działa przez serwer Project Joker i pozostaje wspólna z telefonami.","Steam на ПК выкарыстоўваецца як дадатковы спосаб уваходу і запрашэння. Партыя заўсёды працуе праз сервер Project Joker і застаецца агульнай з тэлефонам.","Компьютердегі Steam кіру мен шақырудың қосымша тәсілі ретінде қолданылады. Ойын әрдайым Project Joker сервері арқылы өтіп, телефонмен ортақ болады.","Steam на ПК используется как дополнительный способ входа и приглашения. Сама партия всегда работает через сервер Project Joker и остаётся общей с телефоном."
"Сначала войдите в комнату.","Join a room first.","Спочатку увійдіть до кімнати.","Najpierw dołącz do pokoju.","Спачатку ўвайдзіце ў пакой.","Алдымен бөлмеге кіріңіз.","Сначала войдите в комнату."
"Код комнаты %d скопирован.","Room code %d copied.","Код кімнати %d скопійовано.","Skopiowano kod pokoju %d.","Код пакоя %d скапіраваны.","%d бөлме коды көшірілді.","Код комнаты %d скопирован."
"Сначала подключитесь к серверу.","Connect to the server first.","Спочатку підключіться до сервера.","Najpierw połącz się z serwerem.","Спачатку падключыцеся да сервера.","Алдымен серверге қосылыңыз.","Сначала подключитесь к серверу."
"Введите корректный код комнаты.","Enter a valid room code.","Введіть правильний код кімнати.","Wpisz prawidłowy kod pokoju.","Увядзіце правільны код пакоя.","Дұрыс бөлме кодын енгізіңіз.","Введите корректный код комнаты."
"Сохранено место в комнате #%d. Можно вернуться после обрыва связи.","Your seat in room #%d is saved. You can return after a connection loss.","Місце в кімнаті #%d збережено. Можна повернутися після розриву зв’язку.","Miejsce w pokoju #%d zostało zapisane. Możesz wrócić po utracie połączenia.","Месца ў пакоі #%d захавана. Можна вярнуцца пасля разрыву сувязі.","#%d бөлмедегі орныңыз сақталды. Байланыс үзілгеннен кейін оралуға болады.","Сохранено место в комнате #%d. Можно вернуться после обрыва связи."
"Подключиться и вернуться","Connect and return","Підключитися й повернутися","Połącz i wróć","Падключыцца і вярнуцца","Қосылып, оралу","Подключиться и вернуться"
"После входа в серверную комнату она появится здесь автоматически.","After joining a server room, it will appear here automatically.","Після входу до серверної кімнати вона автоматично з’явиться тут.","Po dołączeniu do pokoju serwera pojawi się on tutaj automatycznie.","Пасля ўваходу ў серверны пакой ён аўтаматычна з’явіцца тут.","Сервер бөлмесіне кіргеннен кейін ол мұнда автоматты түрде пайда болады.","После входа в серверную комнату она появится здесь автоматически."
"Настройки владельца","Owner settings","Налаштування власника","Ustawienia właściciela","Налады ўладальніка","Иесінің баптаулары","Настройки владельца"
"Боты: лёгкие","Bots: easy","Боти: легкі","Boty: łatwe","Боты: лёгкія","Боттар: оңай","Боты: лёгкие"
"Боты: обычные","Bots: normal","Боти: звичайні","Boty: normalne","Боты: звычайныя","Боттар: қалыпты","Боты: обычные"
"Боты: сложные","Bots: hard","Боти: складні","Boty: trudne","Боты: складаныя","Боттар: қиын","Боты: сложные"
"с ботами на свободных местах","bots fill empty seats","боти займають вільні місця","boty zajmują wolne miejsca","боты займаюць вольныя месцы","бос орындарда боттар","с ботами на свободных местах"
"только четыре игрока","four players only","лише чотири гравці","tylko czterech graczy","толькі чатыры гульцы","тек төрт ойыншы","только четыре игрока"
"Режим: %s · %s","Mode: %s · %s","Режим: %s · %s","Tryb: %s · %s","Рэжым: %s · %s","Режим: %s · %s","Режим: %s · %s"
"Отменить готовность","Cancel ready","Скасувати готовність","Anuluj gotowość","Скасаваць гатоўнасць","Дайындықты болдырмау","Отменить готовность"
"Я готов","I'm ready","Я готовий","Jestem gotowy","Я гатовы","Мен дайынмын","Я готов"
"Начать матч","Start match","Почати матч","Rozpocznij mecz","Пачаць матч","Матчты бастау","Начать матч"
"владелец","owner","власник","właściciel","уладальнік","иесі","владелец"
"бот","bot","бот","bot","бот","бот","бот"
"Место %d · %s","Seat %d · %s","Місце %d · %s","Miejsce %d · %s","Месца %d · %s","%d-орын · %s","Место %d · %s"
"Ждём переподключения","Waiting to reconnect","Очікуємо перепідключення","Czekamy na ponowne połączenie","Чакаем перападключэння","Қайта қосылуды күтеміз","Ждём переподключения"
"✓ Готов","✓ Ready","✓ Готовий","✓ Gotowy","✓ Гатовы","✓ Дайын","✓ Готов"
"Подключён · ещё не готов","Connected · not ready yet","Підключений · ще не готовий","Połączono · jeszcze niegotowy","Падключаны · яшчэ не гатовы","Қосылды · әлі дайын емес","Подключён · ещё не готов"
"Свободно","Empty","Вільно","Wolne","Вольна","Бос","Свободно"
"Обновляю готовность…","Updating readiness…","Оновлюємо готовність…","Aktualizowanie gotowości…","Абнаўляем гатоўнасць…","Дайындық жаңартылуда…","Обновляю готовность…"
"Запускаю матч…","Starting match…","Запускаємо матч…","Uruchamianie meczu…","Запускаем матч…","Матч басталуда…","Запускаю матч…"
"Ты готов. Владелец запустит матч.","You are ready. The owner will start the match.","Ви готові. Власник запустить матч.","Jesteś gotowy. Właściciel rozpocznie mecz.","Ты гатовы. Уладальнік пачне матч.","Сіз дайынсыз. Матчты иесі бастайды.","Ты готов. Владелец запустит матч."
"Отметь готовность, когда закончишь настройку.","Mark ready when you finish setting up.","Позначте готовність, коли завершите налаштування.","Zaznacz gotowość po zakończeniu ustawień.","Адзнач гатоўнасць пасля завяршэння налад.","Баптауды аяқтаған соң дайындықты белгілеңіз.","Отметь готовность, когда закончишь настройку."
"Это действие доступно только владельцу комнаты.","Only the room owner can do this.","Ця дія доступна лише власнику кімнати.","Tylko właściciel pokoju może to zrobić.","Гэта дзеянне даступна толькі ўладальніку пакоя.","Бұл әрекет тек бөлме иесіне қолжетімді.","Это действие доступно только владельцу комнаты."
